PATH,LINK_URL,STATUS,MESSAGE
2011-01-17-joshua-topolsky-dear-michael-arrington.md,http://joshuatopolsky.tumblr.com/post/2791763076/dear-michael-arrington,200,
2011-01-14-nyts-emphasis-does-paragraph-and.md,http://open.blogs.nytimes.com/2011/01/11/emphasis-update-and-source/,200,
2011-01-14-chinese-trucker-gets-life-in-prison-for-evading.md,http://www.nytimes.com/2011/01/14/world/asia/14china.html?_r=2,200,
2010-12-22-netflix-culture-of-fear.md,http://www.glassdoor.com/Reviews/Employee-Review-Netflix-RVW484559.htm,🚫,timeout of 3000ms exceeded
2010-12-22-larry-david-to-feds-thanks-for-the-tax-cut.md,http://www.nytimes.com/2010/12/21/opinion/21david.html?pagewanted=print,200,
2010-12-21-e-mail-use-falls-as-young-chat-and-text.md,http://www.nytimes.com/2010/12/21/technology/21email.html?pagewanted=print,200,
2010-12-16-what-the-fed-really-said.md,http://www.npr.org/blogs/money/2010/12/14/132056092/what-the-fed-really-said,200,
2010-12-16-thomas-hawks-open-letter-to-yahoo-ceo-carol.md,http://thomashawk.com/2010/12/an-open-letter-to-carol-bartz-ceo-yahoo-inc.html,200,
2010-12-16-2010s-best-tumblrs.md,http://www.buzzfeed.com/mjs538/the-60-best-new-tumblr-blogs-of-2010,200,
2010-12-01-its-december-and-24-ways-is-back.md,http://24ways.org/2010/,200,
2010-11-23-ageism-really.md,http://scrunchup.com/article/ageism/,200,
2010-11-12-mtv-selling-rock-band-going-back-to-having.md,http://www.wired.com/gamelife/2010/11/viacom-sells-harmonix/,200,
2010-11-11-instapaper-23s-adaptive-dark-mode.md,http://blog.instapaper.com/post/1538890633,200,
2010-11-11-amc-cancels-rubicon.md,http://www.hollywoodreporter.com/blogs/live-feed/amc-cancels-rubicon-44571,200,
2010-11-11-all-4-major-us-networks-now-blocking-google-tv.md,http://www.gtvhub.com/2010/11/10/fox-com-now-blocking-google-tv-devices/,404,Request failed with status code 404
2010-10-31-the-most-popular-phone-in-the-world.md,http://gizmodo.com/5634258/the-most-popular-phone-in-the-world,200,
2010-10-22-paul-graham-how-not-to-die.md,http://paulgraham.com/die.html,200,
2010-10-22-ewww-you-use-php.md,http://www.mailchimp.com/blog/ewww-you-use-php/,200,
2010-10-07-foursquare-on-tuesdays-outage-so-that-was-a.md,http://blog.foursquare.com/2010/10/05/so-that-was-a-bummer/,200,
2010-10-05-anil-dash-on-the-new-gourmet-live.md,http://dashes.com/anil/2010/09/gourmet-live-and-rewarding-experiences.html,200,
2010-09-28-david-simon-awarded-macarthur-genius-grant.md,http://www.msnbc.msn.com/id/39392757/ns/us_news-life/,200,
2010-09-22-the-secret-to-apples-success-is-that-there-are.md,http://stagetwo.com/2010/09/the-real-secret-of-apples-product-philosophy/,200,
2010-09-22-sass-grows-up-getting-its-own-projectgemrepo.md,http://nex-3.com/posts/103-haml-and-sass-are-split,🚫,getaddrinfo ENOTFOUND nex-3.com
2010-09-17-sample-trent-reznors-score-for-the-social.md,http://www.nullco.com/TSN/,🚫,timeout of 3000ms exceeded
2010-09-15-ios-42-beta-drops-and-apple-announces-airprint.md,http://www.apple.com/pr/library/2010/09/15airprint.html,200,
2010-09-09-in-case-you-were-wishing-github-had-some.md,http://blog.beanstalkapp.com/post/758890597/git-support-is-official,200,
2010-09-09-gruber-breaks-down-todays-big-app-store-changes.md,http://daringfireball.net/2010/09/app_store_guidelines,200,
2010-09-09-apple-shocks-the-world-announces-big-helpful.md,http://www.apple.com/pr/library/2010/09/09statement.html,200,
2010-09-08-twitter-of-the-day-english50cent.md,http://twitter.com/English50Cent,200,
2010-09-08-this-guy-has-an-analog-meter-for-his-google-reader.md,http://www.flickr.com/photos/mattrichardson/4963994815/in/pool-69453349@N00/,200,
2010-09-02-eight-ways-to-completely-misunderstand-the.md,http://www.fastcompany.com/1684020/the-great-app-bubble,200,
2010-08-25-motorola-buys-280-north-whose-technology-is.md,http://techcrunch.com/2010/08/24/motorola-snaps-up-280-north-for-20-million/,200,
2010-08-25-i-try-to-make-things-fascinatinger.md,http://nymag.com/daily/intel/2010/08/ira_glass_likes_excess_and_gia.html,200,
2010-08-24-googles-creep-executive-officer.md,http://daringfireball.net/2010/08/creep_executive_officer,200,
2010-08-18-what-the-class-of-2014-knows.md,http://www.beloit.edu/mindset/2014.php,404,Request failed with status code 404
2010-08-12-paul-graham-what-happened-to-yahoo.md,http://www.paulgraham.com/yahoo.html,200,
2010-08-11-oh-hey-look-github-is-running-a-job-board.md,http://jobs.github.com/,200,
2010-07-30-youre-a-virgin-who-cant-drive.md,http://www.slate.com/id/2262214/,200,
2010-07-30-i-like-you-thats-why-i-stuck-this-dirty-piece-of.md,http://www.nytimes.com/2010/07/22/fashion/22date.html?_r=1,200,
2010-07-29-neven-mrgan-compares-imac-hp-dells-websites.md,http://mrgan.tumblr.com/post/867437854/fish-in-a-barrel,200,
2010-07-28-craig-mod-kickstartup.md,http://craigmod.com/journal/kickstartup/,200,
2010-07-22-the-wrong-questions.md,http://blog.trailmeme.com/2010/07/the-dangerous-art-of-the-right-question/,🚫,getaddrinfo ENOTFOUND blog.trailmeme.com
2010-07-22-bbb-punkd-into-giving-an-a-rating-to-hamas.md,http://motherjones.com/mojo/2010/07/hamas-gets-rating-bbb,200,
2010-07-21-white-house-gets-punkd-into-firing-black-ag.md,http://www.guardian.co.uk/world/2010/jul/21/white-house-shirley-sherrod,200,
2010-07-12-put-down-the-hamster-and-slowly-back-away.md,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2010/07/08/MN9L1EAT90.DTL,200,
2010-06-12-7-awesome-ways-barnyard-animals-are-like-communism.md,http://www.mcsweeneys.net/links/lists/27lacher.html,404,Request failed with status code 404
2010-06-11-joystiqs-coverage-of-rock-band-3.md,http://www.joystiq.com/2010/06/11/rock-band-3-hands-on-preview/,200,
2010-06-11-flash-player-101-is-made-of-cocoa.md,http://blogs.adobe.com/jnack/2010/06/flash_player_goes_cocoa.html,200,
2010-06-02-you-wouldnt-drink-9-year-old-milk.md,http://www.microsoft.com/australia/technet/ie8milk/Default.aspx,503,Request failed with status code 503
2010-06-02-rethinking-routes.md,http://blog.peepcode.com/tutorials/2010/rethinking-rails-3-routes,🚫,getaddrinfo ENOTFOUND blog.peepcode.com
2010-05-25-chrome-for-mac-is-out-of-beta.md,http://www.macworld.com/article/151526/2010/05/chrome_mac_official.html,200,
2010-05-25-before-you-get-too-excited-about-a-verizon.md,http://www.appleoutsider.com/2010/05/25/whither-verizon/,200,
2010-05-17-nba-jam-coming-to-wii-this-fall.md,http://kotaku.com/5506312/how-they-brought-nba-jam-back-from-the-dead,200,
2010-05-17-gruber-paczkowski-geschke-flash.md,http://daringfireball.net/2010/05/paczkowski_geschke,200,
2010-05-15-steve-jobs-vs-gawker-blogger.md,http://gawker.com/5539717/,404,Request failed with status code 404
2010-05-11-changes-at-typekit.md,http://blog.typekit.com/2010/05/11/simplified-accounts/,200,
2010-05-10-eames-house-at-the-eames-house.md,http://observatory.designobserver.com/entry.html?entry=13408,🚫,getaddrinfo ENOTFOUND observatory.designobserver.com
2010-05-10-dustin-curtis-the-death-of-files.md,http://dustincurtis.com/files.html,403,Request failed with status code 403
2010-04-30-microsoft-cancels-courier-tablet-project.md,http://gizmodo.com/5527442/microsoft-cancels-innovative-courier-tablet-project,200,
